+OID_,FID_1,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape__Are,Shape__Len,DEM_min,DEM_mean,DEM_max,DEM_std,FloAc_rang,FloAc_mean,FloAc_std,FlowAc_max,Haz_major,Haz_max,FloDir_maj,FloDir_mea,FloDir_std,POP_2010_original,POP_2015_original,POP_2021_original,population_2021,population_2015,population_2010,growth_2010_2021_abs,growth_2010_2021_pct,growth_2010_2015_pct,growth_2015_2021_pct,area_sq_km,pop_density_2010,pop_density_2015,pop_density_2021
1,1,48,201,421700,48201421700,4217.0,Census Tract 4217,G5020,S,1882480,8711,29.6869475,-95.4877251,2514418.72265625,7403.52136771709,9,17.4129009,19.0,0.963373,2800.0,28.8467999,159.0630035,2800.0,1.0,1.0,4.0,20.8899002,34.4556999,4817.0,1813.0,2787.0,4613.0,4597.0,4817.0,-204.0,-4.23500103799045,-4.567157982146564,0.3480530780944094,1.88248,2558.858527049424,2441.9914155794486,2450.490841868174
2,2,48,201,233105,48201233105,2331.05,Census Tract 2331.05,G5020,S,1637257,2549,29.7830028,-95.1613706,2184288.26171875,7967.01561436677,0,7.9582,11.0,1.43312,2207.0,28.6895008,146.2890015,2207.0,1.0,1.0,64.0,35.8022995,48.1321983,,,,4610.0,4878.576156297717,4800.095005426435,-190.0950054264349,-3.960234228937873,1.6349916154276143,-5.5052160239625225,1.637257,2931.7907973069805,2979.725331024828,2815.685014631179
3,3,48,201,341800,48201341800,3418.0,Census Tract 3418,G5020,S,4385025,158731,29.6339494,-95.0245468,6034544.34375,13359.624488964,0,2.8949201,10.0,1.0391999,19854.0,89.5159988,961.3660278,19854.0,1.0,1.0,1.0,27.4193993,43.1992989,1903.0,2590.0,2931.0,2496.0,1770.0,1903.0,593.0,31.16132422490804,-6.988964792433,41.01694915254237,4.385025,433.9770012713725,403.64650144525973,569.2099816990782
4,4,48,201,252201,48201252201,2522.01,Census Tract 2522.01,G5020,S,2675778,0,29.8265714,-95.1639591,3567414.1953125,9910.5721350308,5,10.2792997,17.0,1.28987,10694.0,27.4613991,158.4120026,10694.0,1.0,2.0,1.0,27.5711002,48.7748985,,,,4878.0,973.4365729781097,769.2038572349859,4108.796142765014,534.1621865411172,26.55118195549197,401.11123163128724,2.675778,287.46923595118346,363.79571585464475,1823.0211923410684
5,5,48,201,451700,48201451700,4517.0,Census Tract 4517,G5020,S,1747419,9610,29.7324585,-95.633194,2338157.54296875,7303.744852047809,21,24.7987995,27.0,0.789451,2057.0,19.5382996,94.5761032,2057.0,1.0,1.0,1.0,25.8085003,45.3148003,2672.0,5509.0,3284.0,4316.0,3947.0,2672.0,1644.0,61.52694610778443,47.717065868263475,9.348872561439068,1.747419,1529.112365151117,2258.759919630037,2469.9285059851127
6,6,48,201,451800,48201451800,4518.0,Census Tract 4518,G5020,S,4735936,52173,29.7188585,-95.6342779,6370239.2109375,10383.9227653659,16,23.9421005,32.0,1.86456,3898.0,32.5159988,193.9790039,3898.0,1.0,1.0,4.0,30.5464993,43.4227982,5387.0,3982.0,3131.0,5066.0,5761.0,5387.0,-321.0,-5.9587896788565065,6.942639688138111,-12.06387779899323,4.735936,1137.4731415289395,1216.443803294639,1069.6935093717484
7,7,48,201,421900,48201421900,4219.0,Census Tract 4219,G5020,S,1662248,17649,29.6713977,-95.4847512,2232834.94921875,6611.12993604051,10,16.9305992,19.0,0.813865,6013.0,40.4561005,297.8320007,6013.0,1.0,1.0,64.0,41.3014984,40.662899,2549.0,2677.0,2949.0,2709.0,2677.0,2549.0,160.0,6.2769713613181635,5.0215770890545315,1.1953679491968623,1.662248,1533.46552379669,1610.4696772082145,1629.7207155610956
8,8,48,201,422100,48201422100,4221.0,Census Tract 4221,G5020,S,2399121,0,29.6482654,-95.4870792,3187335.1484375,8453.185162122489,14,18.2787991,25.0,0.883793,3357.0,27.3045998,112.5810013,3357.0,0.0,0.0,64.0,34.6402016,36.0256004,5655.0,2334.0,3944.0,5670.0,5076.0,5655.0,15.0,0.2652519893899204,-10.238726790450928,11.702127659574469,2.399121,2357.1132927434674,2115.774902558062,2363.3655826446434
9,9,48,201,422200,48201422200,4222.0,Census Tract 4222,G5020,S,1774485,290,29.6401541,-95.5018992,2357415.2421875,6236.99674228399,13,19.5114002,27.0,0.72629,4016.0,24.8969002,142.4329987,4016.0,1.0,1.0,64.0,36.1823006,37.7547989,5730.0,4965.0,2494.0,5503.0,4965.0,5730.0,-227.0,-3.961605584642234,-13.350785340314136,10.835850956696879,1.774485,3229.1059096019408,2797.9949111995875,3101.181469553138
10,10,48,201,342100,48201342100,3421.0,Census Tract 3421,G5020,S,4622441,10184,29.655812,-95.1424321,6155694.0,10530.7785510894,4,8.2320995,16.0,1.2848901,2843.0,18.7653008,111.4079971,2843.0,1.0,1.0,4.0,39.0405006,61.1189003,4180.0,2534.0,5409.0,4465.0,4194.718954761195,4386.258066763657,78.74193323634336,1.7951960882785465,-4.366799880149006,6.443364815466926,4.622441,948.905149197936,907.4683602800328,965.9398573178111
11,11,48,201,342200,48201342200,3422.0,Census Tract 3422,G5020,S,2876910,2145,29.6735514,-95.1465361,3826719.9804687514,8390.42633224894,7,9.6061201,16.0,1.06795,3130.0,23.8483009,122.1100006,3130.0,1.0,1.0,4.0,21.2068005,38.0783005,4567.0,3687.0,3959.0,3583.0,3687.0,4567.0,-984.0,-21.54587256404642,-19.26866652069192,-2.8207214537564416,2.87691,1587.4671088077139,1281.583365485886,1245.4334685478516
12,12,48,201,342300,48201342300,3423.0,Census Tract 3423,G5020,S,2797659,0,29.673705,-95.131227,3718673.0664062495,8371.6398132024,8,9.7761297,11.0,0.639345,2357.0,19.1679993,81.8047028,2357.0,0.0,0.0,1.0,27.7261009,38.3927994,6345.0,2302.0,2675.0,7903.0,7487.6168642281355,6346.815985550006,1556.1840144499938,24.519129245168074,17.97438087499978,5.547601370421943,2.797659,2268.6167204616454,2676.386530391351,2824.8617862291294
13,13,48,201,342400,48201342400,3424.0,Census Tract 3424,G5020,S,3319522,88087,29.6958294,-95.1477075,4531297.65234375,11118.8739024629,2,9.4482002,22.0,1.61055,4178.0,20.5699005,117.0920029,4178.0,0.0,0.0,64.0,36.7126007,49.7310982,3524.0,6042.0,3684.0,3236.0,3595.1999173337954,3509.342892726056,-273.3428927260561,-7.789004981320689,2.4465270916016295,-9.99109717381665,3.319522,1057.1832006915622,1083.0474741043424,974.8391485280109
14,14,48,201,342500,48201342500,3425.0,Census Tract 3425,G5020,S,6436831,57514,29.697306,-95.1317655,8636243.83203125,12815.8603723611,5,9.0239697,17.0,0.864363,2535.0,19.2618999,100.0130005,2535.0,1.0,1.0,16.0,32.6278,44.4662018,6055.0,6949.0,3977.0,5889.0,6029.183218438069,6067.841121723936,-178.84112172393634,-2.947359994045555,-0.637094849887633,-2.3250780969695803,6.436831,942.6752266330958,936.6694913130498,914.8911941295337
15,15,48,201,342700,48201342700,3427.0,Census Tract 3427,G5020,S,3491982,5066,29.6960655,-95.1188728,4650272.984375,10559.4028601611,2,8.3195496,10.0,0.88564,2473.0,23.3477993,112.5189972,2473.0,1.0,1.0,1.0,29.3589993,38.888401,4877.0,3152.0,4938.0,5007.0,5103.389215781996,4916.530770831003,90.46922916899712,1.840102978826792,3.800615793144122,-1.8887294640180925,3.491982,1407.9484862267338,1461.4591987536007,1433.8561882621389
16,16,48,201,422800,48201422800,4228.0,Census Tract 4228,G5020,S,2300670,0,29.6900285,-95.517789,3059049.765625,7344.778219433639,16,19.4832001,27.0,0.856871,2145.0,14.3486004,62.6544991,2145.0,1.0,1.0,1.0,28.3122005,44.8264008,4339.0,6061.0,3552.0,5426.0,4082.0,4339.0,1087.0,25.051855266190366,-5.923023738188523,32.9250367466928,2.30067,1885.9723471858197,1774.2657573663323,2358.4434099631844
