OID_,FID_1,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape__Are,Shape__Len,DEM_min,DEM_mean,DEM_max,DEM_std,FloAc_rang,FloAc_mean,FloAc_std,FlowAc_max,Haz_major,Haz_max,FloDir_maj,FloDir_mea,FloDir_std,2010_POP,2015_POP,2021_POP
1,1,48,201,421700,48201421700,4217.0,Census Tract 4217,G5020,S,1882480,8711,29.6869475,-95.4877251,2514418.72265625,7403.52136771709,9,17.4129009,19.0,0.963373,2800.0,28.8467999,159.0630035,2800.0,1.0,1.0,4.0,20.8899002,34.4556999,4817.0,1813.0,2787.0
2,2,48,201,233105,48201233105,2331.05,Census Tract 2331.05,G5020,S,1637257,2549,29.7830028,-95.1613706,2184288.26171875,7967.01561436677,0,7.9582,11.0,1.43312,2207.0,28.6895008,146.2890015,2207.0,1.0,1.0,64.0,35.8022995,48.1321983,,,
3,3,48,201,341800,48201341800,3418.0,Census Tract 3418,G5020,S,4385025,158731,29.6339494,-95.0245468,6034544.34375,13359.624488964,0,2.8949201,10.0,1.0391999,19854.0,89.5159988,961.3660278,19854.0,1.0,1.0,1.0,27.4193993,43.1992989,1903.0,2590.0,2931.0
4,4,48,201,252201,48201252201,2522.01,Census Tract 2522.01,G5020,S,2675778,0,29.8265714,-95.1639591,3567414.1953125,9910.5721350308,5,10.2792997,17.0,1.28987,10694.0,27.4613991,158.4120026,10694.0,1.0,2.0,1.0,27.5711002,48.7748985,,,
5,5,48,201,451700,48201451700,4517.0,Census Tract 4517,G5020,S,1747419,9610,29.7324585,-95.633194,2338157.54296875,7303.744852047809,21,24.7987995,27.0,0.789451,2057.0,19.5382996,94.5761032,2057.0,1.0,1.0,1.0,25.8085003,45.3148003,2672.0,5509.0,3284.0
6,6,48,201,451800,48201451800,4518.0,Census Tract 4518,G5020,S,4735936,52173,29.7188585,-95.6342779,6370239.2109375,10383.9227653659,16,23.9421005,32.0,1.86456,3898.0,32.5159988,193.9790039,3898.0,1.0,1.0,4.0,30.5464993,43.4227982,5387.0,3982.0,3131.0
7,7,48,201,421900,48201421900,4219.0,Census Tract 4219,G5020,S,1662248,17649,29.6713977,-95.4847512,2232834.94921875,6611.12993604051,10,16.9305992,19.0,0.813865,6013.0,40.4561005,297.8320007,6013.0,1.0,1.0,64.0,41.3014984,40.662899,2549.0,2677.0,2949.0
8,8,48,201,422100,48201422100,4221.0,Census Tract 4221,G5020,S,2399121,0,29.6482654,-95.4870792,3187335.1484375,8453.185162122489,14,18.2787991,25.0,0.883793,3357.0,27.3045998,112.5810013,3357.0,0.0,0.0,64.0,34.6402016,36.0256004,5655.0,2334.0,3944.0
9,9,48,201,422200,48201422200,4222.0,Census Tract 4222,G5020,S,1774485,290,29.6401541,-95.5018992,2357415.2421875,6236.99674228399,13,19.5114002,27.0,0.72629,4016.0,24.8969002,142.4329987,4016.0,1.0,1.0,64.0,36.1823006,37.7547989,5730.0,4965.0,2494.0
10,10,48,201,342100,48201342100,3421.0,Census Tract 3421,G5020,S,4622441,10184,29.655812,-95.1424321,6155694.0,10530.7785510894,4,8.2320995,16.0,1.2848901,2843.0,18.7653008,111.4079971,2843.0,1.0,1.0,4.0,39.0405006,61.1189003,4180.0,2534.0,5409.0
11,11,48,201,342200,48201342200,3422.0,Census Tract 3422,G5020,S,2876910,2145,29.6735514,-95.1465361,3826719.9804687505,8390.42633224894,7,9.6061201,16.0,1.06795,3130.0,23.8483009,122.1100006,3130.0,1.0,1.0,4.0,21.2068005,38.0783005,4567.0,3687.0,3959.0
12,12,48,201,342300,48201342300,3423.0,Census Tract 3423,G5020,S,2797659,0,29.673705,-95.131227,3718673.0664062495,8371.6398132024,8,9.7761297,11.0,0.639345,2357.0,19.1679993,81.8047028,2357.0,0.0,0.0,1.0,27.7261009,38.3927994,6345.0,2302.0,2675.0
13,13,48,201,342400,48201342400,3424.0,Census Tract 3424,G5020,S,3319522,88087,29.6958294,-95.1477075,4531297.65234375,11118.8739024629,2,9.4482002,22.0,1.61055,4178.0,20.5699005,117.0920029,4178.0,0.0,0.0,64.0,36.7126007,49.7310982,3524.0,6042.0,3684.0
14,14,48,201,342500,48201342500,3425.0,Census Tract 3425,G5020,S,6436831,57514,29.697306,-95.1317655,8636243.83203125,12815.8603723611,5,9.0239697,17.0,0.864363,2535.0,19.2618999,100.0130005,2535.0,1.0,1.0,16.0,32.6278,44.4662018,6055.0,6949.0,3977.0
15,15,48,201,342700,48201342700,3427.0,Census Tract 3427,G5020,S,3491982,5066,29.6960655,-95.1188728,4650272.984375,10559.4028601611,2,8.3195496,10.0,0.88564,2473.0,23.3477993,112.5189972,2473.0,1.0,1.0,1.0,29.3589993,38.888401,4877.0,3152.0,4938.0
16,16,48,201,422800,48201422800,4228.0,Census Tract 4228,G5020,S,2300670,0,29.6900285,-95.517789,3059049.765625,7344.778219433639,16,19.4832001,27.0,0.856871,2145.0,14.3486004,62.6544991,2145.0,1.0,1.0,1.0,28.3122005,44.8264008,4339.0,6061.0,3552.0
17,17,48,201,422900,48201422900,4229.0,Census Tract 4229,G5020,S,1615442,15401,29.6820045,-95.5298306,2168100.57421875,6991.35020367114,12,19.4153004,27.0,1.30799,3105.0,33.4421005,185.4929962,3105.0,1.0,1.0,4.0,22.2380009,35.296299,4557.0,1595.0,1459.0
18,18,48,201,423100,48201423100,4231.0,Census Tract 4231,G5020,S,1635456,21679,29.6647245,-95.5494555,2202489.45703125,8425.45650615109,12,20.7180996,29.0,1.4272,2601.0,23.0056,117.6080017,2601.0,1.0,1.0,4.0,21.2488995,38.2223015,2958.0,2626.0,1717.0
19,19,48,201,343000,48201343000,3430.0,Census Tract 3430,G5020,S,5864027,7713,29.65813,-95.107354,7802279.04296875,12847.7508249704,2,7.4925799,10.0,1.07572,7112.0,26.8894997,178.6100006,7112.0,1.0,1.0,16.0,24.4598999,37.7905998,6857.0,3947.0,1104.0
20,20,48,201,343200,48201343200,3432.0,Census Tract 3432,G5020,S,4682553,0,29.6581158,-95.0553648,6222172.84375,10765.0084781119,3,5.8663802,12.0,0.658389,5086.0,26.7292004,140.5370026,5086.0,1.0,1.0,1.0,25.4874001,39.2663002,4749.0,5175.0,6983.0
21,21,48,201,423600,48201423600,4236.0,Census Tract 4236,G5020,S,3327042,887,29.6337489,-95.520956,4420294.44921875,9694.250358387428,14,19.7000008,27.0,0.86844,4829.0,35.035099,208.2429962,4829.0,1.0,1.0,64.0,32.6119003,39.1869011,6964.0,3126.0,3690.0
22,22,48,201,412300,48201412300,4123.0,Census Tract 4123,G5020,S,2381021,0,29.7157544,-95.4241774,3167489.59765625,7505.56275790693,14,15.1065998,16.0,0.544399,5913.0,46.4150009,290.4849854,5913.0,1.0,1.0,4.0,19.2150993,29.1172009,6704.0,5146.0,3633.0
23,23,48,201,412400,48201412400,4124.0,Census Tract 4124,G5020,S,1689526,0,29.7161946,-95.4352661,2247609.265625,9327.04127333507,12,15.4117002,17.0,0.577339,9354.0,55.0195999,391.3599854,9354.0,1.0,1.0,1.0,16.6527996,30.3448009,4196.0,4484.0,5429.0
24,24,48,201,332600,48201332600,3326.0,Census Tract 3326,G5020,S,3275969,2883,29.6749892,-95.3068102,4358381.67578125,9328.65464242914,0,10.7821999,14.0,0.80319,21307.0,34.7723999,423.2489929,21307.0,1.0,2.0,4.0,22.6984005,37.7512016,6158.0,5389.0,2610.0
25,25,48,201,412700,48201412700,4127.0,Census Tract 4127,G5020,S,2057498,0,29.7135,-95.453667,2736989.55078125,7048.22096105604,15,16.1868,24.0,0.752678,3731.0,22.4442005,101.8119965,3731.0,1.0,1.0,1.0,20.2294006,32.8198013,3331.0,3274.0,2537.0
