"GEO_ID","NAME","B01003_001E","B01003_001M","POPGROUP","POPGROUP_TTL",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Race/Ethnic Group","Population Groups",
"0500000US48201","Harris County, Texas","3950999","*****","001","Total population",
"1400000US48201212300","Census Tract 2123, Harris County, Texas","5028","700","001","Total population",
"1400000US48201223100","Census Tract 2231, Harris County, Texas","2366","297","001","Total population",
"1400000US48201252100","Census Tract 2521, Harris County, Texas","1551","194","001","Total population",
"1400000US48201412600","Census Tract 4126, Harris County, Texas","3715","257","001","Total population",
"1400000US48201412700","Census Tract 4127, Harris County, Texas","3331","266","001","Total population",
"1400000US48201333500","Census Tract 3335, Harris County, Texas","6693","707","001","Total population",
"1400000US48201232000","Census Tract 2320, Harris County, Texas","4248","417","001","Total population",
"1400000US48201324100","Census Tract 3241, Harris County, Texas","5797","634","001","Total population",
"1400000US48201453900","Census Tract 4539, Harris County, Texas","9287","737","001","Total population",
"1400000US48201530400","Census Tract 5304, Harris County, Texas","2478","425","001","Total population",
"1400000US48201554902","Census Tract 5549.02, Harris County, Texas","5936","621","001","Total population",
"1400000US48201250302","Census Tract 2503.02, Harris County, Texas","8905","659","001","Total population",
"1400000US48201533500","Census Tract 5335, Harris County, Texas","4634","424","001","Total population",
"1400000US48201452900","Census Tract 4529, Harris County, Texas","3797","456","001","Total population",
"1400000US48201530200","Census Tract 5302, Harris County, Texas","3991","523","001","Total population",
"1400000US48201551701","Census Tract 5517.01, Harris County, Texas","8705","555","001","Total population",
"1400000US48201334003","Census Tract 3340.03, Harris County, Texas","6417","729","001","Total population",
"1400000US48201251502","Census Tract 2515.02, Harris County, Texas","10276","475","001","Total population",
"1400000US48201422302","Census Tract 4223.02, Harris County, Texas","2338","374","001","Total population",
"1400000US48201530700","Census Tract 5307, Harris County, Texas","5650","596","001","Total population",
"1400000US48201241102","Census Tract 2411.02, Harris County, Texas","11452","690","001","Total population",
"1400000US48201421102","Census Tract 4211.02, Harris County, Texas","5552","840","001","Total population",
"1400000US48201510500","Census Tract 5105, Harris County, Texas","2683","320","001","Total population",
"1400000US48201220700","Census Tract 2207, Harris County, Texas","5956","879","001","Total population",
"1400000US48201541601","Census Tract 5416.01, Harris County, Texas","4314","312","001","Total population",
"1400000US48201314400","Census Tract 3144, Harris County, Texas","3033","309","001","Total population",
"1400000US48201531800","Census Tract 5318, Harris County, Texas","2260","423","001","Total population",
"1400000US48201343100","Census Tract 3431, Harris County, Texas","4915","410","001","Total population",
"1400000US48201410100","Census Tract 4101, Harris County, Texas","3844","348","001","Total population",
"1400000US48201411600","Census Tract 4116, Harris County, Texas","2262","178","001","Total population",
"1400000US48201420600","Census Tract 4206, Harris County, Texas","2297","253","001","Total population",
"1400000US48201423100","Census Tract 4231, Harris County, Texas","2958","500","001","Total population",
"1400000US48201451402","Census Tract 4514.02, Harris County, Texas","4455","621","001","Total population",
"1400000US48201342200","Census Tract 3422, Harris County, Texas","4567","610","001","Total population",
"1400000US48201432100","Census Tract 4321, Harris County, Texas","4592","620","001","Total population",
"1400000US48201330303","Census Tract 3303.03, Harris County, Texas","3350","542","001","Total population",
"1400000US48201222401","Census Tract 2224.01, Harris County, Texas","2875","549","001","Total population",
"1400000US48201233701","Census Tract 2337.01, Harris County, Texas","5474","488","001","Total population",
"1400000US48201312500","Census Tract 3125, Harris County, Texas","3065","517","001","Total population",
"1400000US48201341800","Census Tract 3418, Harris County, Texas","1903","239","001","Total population",
"1400000US48201230800","Census Tract 2308, Harris County, Texas","2434","376","001","Total population",
"1400000US48201231900","Census Tract 2319, Harris County, Texas","6833","1025","001","Total population",
"1400000US48201313100","Census Tract 3131, Harris County, Texas","3018","440","001","Total population",
"1400000US48201421300","Census Tract 4213, Harris County, Texas","5828","863","001","Total population",
"1400000US48201420400","Census Tract 4204, Harris County, Texas","3702","269","001","Total population",
"1400000US48201430200","Census Tract 4302, Harris County, Texas","1372","178","001","Total population",
"1400000US48201554001","Census Tract 5540.01, Harris County, Texas","3177","305","001","Total population",
"1400000US48201211700","Census Tract 2117, Harris County, Texas","3318","400","001","Total population",
"1400000US48201240100","Census Tract 2401, Harris County, Texas","3441","530","001","Total population",
"1400000US48201231100","Census Tract 2311, Harris County, Texas","4696","706","001","Total population",
"1400000US48201232701","Census Tract 2327.01, Harris County, Texas","7521","842","001","Total population",
"1400000US48201453401","Census Tract 4534.01, Harris County, Texas","2478","413","001","Total population",
"1400000US48201530100","Census Tract 5301, Harris County, Texas","6950","732","001","Total population",
"1400000US48201532400","Census Tract 5324, Harris County, Texas","5250","594","001","Total population",
"1400000US48201333201","Census Tract 3332.01, Harris County, Texas","5014","586","001","Total population",
"1400000US48201420200","Census Tract 4202, Harris County, Texas","2586","317","001","Total population",
"1400000US48201432001","Census Tract 4320.01, Harris County, Texas","2805","330","001","Total population",
"1400000US48201331300","Census Tract 3313, Harris County, Texas","5021","621","001","Total population",
"1400000US48201333901","Census Tract 3339.01, Harris County, Texas","6928","582","001","Total population",
"1400000US48201250500","Census Tract 2505, Harris County, Texas","5313","398","001","Total population",
"1400000US48201521000","Census Tract 5210, Harris County, Texas","2611","499","001","Total population",
"1400000US48201540501","Census Tract 5405.01, Harris County, Texas","5851","973","001","Total population",
"1400000US48201431600","Census Tract 4316, Harris County, Texas","3323","276","001","Total population",
"1400000US48201540601","Census Tract 5406.01, Harris County, Texas","2760","250","001","Total population",
