"GEO_ID","NAME","B01003_001E","B01003_001M","POPGROUP","POPGROUP_LABEL",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Race/Ethnic Group","Population Groups",
"0500000US48201","Harris County, Texas","4356362","*****","001","Total population",
"1400000US48201212300","Census Tract 2123; Harris County; Texas","6088","595","001","Total population",
"1400000US48201223100","Census Tract 2231; Harris County; Texas","1961","214","001","Total population",
"1400000US48201252100","Census Tract 2521; Harris County; Texas","1927","221","001","Total population",
"1400000US48201412600","Census Tract 4126; Harris County; Texas","4049","222","001","Total population",
"1400000US48201412700","Census Tract 4127; Harris County; Texas","3274","266","001","Total population",
"1400000US48201453900","Census Tract 4539, Harris County, Texas","10116","857","001","Total population",
"1400000US48201530400","Census Tract 5304; Harris County; Texas","2696","464","001","Total population",
"1400000US48201232000","Census Tract 2320; Harris County; Texas","3826","494","001","Total population",
"1400000US48201324100","Census Tract 3241, Harris County, Texas","4969","475","001","Total population",
"1400000US48201333500","Census Tract 3335, Harris County, Texas","6028","618","001","Total population",
"1400000US48201554902","Census Tract 5549.02; Harris County; Texas","7223","504","001","Total population",
"1400000US48201250302","Census Tract 2503.02, Harris County, Texas","10719","838","001","Total population",
"1400000US48201533500","Census Tract 5335; Harris County; Texas","4260","289","001","Total population",
"1400000US48201530200","Census Tract 5302; Harris County; Texas","3986","364","001","Total population",
"1400000US48201452900","Census Tract 4529; Harris County; Texas","4436","440","001","Total population",
"1400000US48201551701","Census Tract 5517.01, Harris County, Texas","8380","1150","001","Total population",
"1400000US48201334003","Census Tract 3340.03; Harris County; Texas","6954","740","001","Total population",
"1400000US48201530700","Census Tract 5307, Harris County, Texas","5708","498","001","Total population",
"1400000US48201251502","Census Tract 2515.02, Harris County, Texas","10028","555","001","Total population",
"1400000US48201422302","Census Tract 4223.02; Harris County; Texas","2504","297","001","Total population",
"1400000US48201510500","Census Tract 5105; Harris County; Texas","3212","273","001","Total population",
"1400000US48201241102","Census Tract 2411.02, Harris County, Texas","12123","744","001","Total population",
"1400000US48201421102","Census Tract 4211.02, Harris County, Texas","4942","633","001","Total population",
"1400000US48201220700","Census Tract 2207, Harris County, Texas","5485","643","001","Total population",
"1400000US48201541601","Census Tract 5416.01, Harris County, Texas","5415","422","001","Total population",
"1400000US48201314400","Census Tract 3144, Harris County, Texas","3440","266","001","Total population",
"1400000US48201531800","Census Tract 5318; Harris County; Texas","2037","297","001","Total population",
"1400000US48201343100","Census Tract 3431; Harris County; Texas","4605","325","001","Total population",
"1400000US48201410100","Census Tract 4101, Harris County, Texas","3912","269","001","Total population",
"1400000US48201411600","Census Tract 4116; Harris County; Texas","2422","293","001","Total population",
"1400000US48201420600","Census Tract 4206; Harris County; Texas","2262","181","001","Total population",
"1400000US48201423100","Census Tract 4231; Harris County; Texas","2626","412","001","Total population",
"1400000US48201451402","Census Tract 4514.02, Harris County, Texas","4870","906","001","Total population",
"1400000US48201342200","Census Tract 3422; Harris County; Texas","3687","440","001","Total population",
"1400000US48201432100","Census Tract 4321, Harris County, Texas","5737","627","001","Total population",
"1400000US48201222401","Census Tract 2224.01; Harris County; Texas","3112","386","001","Total population",
"1400000US48201330303","Census Tract 3303.03; Harris County; Texas","4203","483","001","Total population",
"1400000US48201233701","Census Tract 2337.01; Harris County; Texas","5455","313","001","Total population",
"1400000US48201312500","Census Tract 3125, Harris County, Texas","3752","516","001","Total population",
"1400000US48201230800","Census Tract 2308; Harris County; Texas","2590","296","001","Total population",
"1400000US48201231900","Census Tract 2319; Harris County; Texas","6570","1255","001","Total population",
"1400000US48201313100","Census Tract 3131, Harris County, Texas","3193","280","001","Total population",
"1400000US48201341800","Census Tract 3418; Harris County; Texas","1770","177","001","Total population",
"1400000US48201421300","Census Tract 4213, Harris County, Texas","6847","661","001","Total population",
"1400000US48201420400","Census Tract 4204; Harris County; Texas","3352","201","001","Total population",
"1400000US48201430200","Census Tract 4302; Harris County; Texas","1619","176","001","Total population",
"1400000US48201554001","Census Tract 5540.01; Harris County; Texas","3875","446","001","Total population",
"1400000US48201211700","Census Tract 2117; Harris County; Texas","3863","540","001","Total population",
"1400000US48201240100","Census Tract 2401, Harris County, Texas","4456","534","001","Total population",
"1400000US48201453401","Census Tract 4534.01; Harris County; Texas","3409","362","001","Total population",
