"GEO_ID","NAME","POPGROUP","POPGROUP_LABEL","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Race/Ethnic Group","Population Groups","Estimate!!Total","Margin of Error!!Total",
"0500000US48201","Harris County, Texas","001","Total population","4697957","*****",
"1400000US48201100001","Census Tract 1000.01; Harris County; Texas","001","Total population","4999","538",
"1400000US48201210400","Census Tract 2104; Harris County; Texas","001","Total population","4411","615",
"1400000US48201210500","Census Tract 2105; Harris County; Texas","001","Total population","5013","629",
"1400000US48201210600","Census Tract 2106; Harris County; Texas","001","Total population","5645","1468",
"1400000US48201210700","Census Tract 2107; Harris County; Texas","001","Total population","2537","398",
"1400000US48201210800","Census Tract 2108; Harris County; Texas","001","Total population","2223","402",
"1400000US48201210900","Census Tract 2109; Harris County; Texas","001","Total population","1462","403",
"1400000US48201211000","Census Tract 2110; Harris County; Texas","001","Total population","2112","417",
"1400000US48201211101","Census Tract 2111.01; Harris County; Texas","001","Total population","3217","1356",
"1400000US48201211102","Census Tract 2111.02; Harris County; Texas","001","Total population","2215","746",
"1400000US48201211200","Census Tract 2112; Harris County; Texas","001","Total population","2213","442",
"1400000US48201211301","Census Tract 2113.01; Harris County; Texas","001","Total population","2419","684",
"1400000US48201211302","Census Tract 2113.02; Harris County; Texas","001","Total population","2722","535",
"1400000US48201211400","Census Tract 2114; Harris County; Texas","001","Total population","3819","577",
"1400000US48201211501","Census Tract 2115.01; Harris County; Texas","001","Total population","2864","637",
"1400000US48201211502","Census Tract 2115.02; Harris County; Texas","001","Total population","3375","912",
"1400000US48201211600","Census Tract 2116; Harris County; Texas","001","Total population","3235","436",
"1400000US48201211700","Census Tract 2117; Harris County; Texas","001","Total population","3846","702",
"1400000US48201211900","Census Tract 2119; Harris County; Texas","001","Total population","5528","1082",
"1400000US48201212300","Census Tract 2123; Harris County; Texas","001","Total population","4348","722",
"1400000US48201212400","Census Tract 2124; Harris County; Texas","001","Total population","3106","473",
"1400000US48201212500","Census Tract 2125; Harris County; Texas","001","Total population","3874","849",
